id,ics_table_id,country
1361,252,USA
1362,254,GBR
1363,254,ZAF
1364,254,NGA
1365,255,GBR
1366,256,GBR
1367,256,AUS
1368,256,ITA
1369,256,NLD
1370,256,DEU
1371,256,USA
1372,256,DNK
1373,256,ESP
1374,256,RUS
1375,256,JPN
1376,256,ARG
1377,256,CHL
1378,256,MAR
1379,256,KWT
1380,256,KOR
1381,256,SGP
1382,257,GBR
1383,257,USA
1384,257,CHN
1385,258,GBR
1386,259,GBR
1387,259,GIB
1388,260,GBR
1389,261,USA
1390,261,GBR
1391,262,MWI
1392,262,GHA
1393,262,KEN
1394,264,AUS
1395,264,GBR
1396,264,NZL
1397,264,USA
1398,264,AUT
1399,264,BEL
1400,264,BGR
1401,264,HRV
1402,264,CYP
1403,264,CZE
1404,264,DNK
1405,264,EST
1406,264,FIN
1407,264,FRA
1408,264,DEU
1409,264,GRC
1410,264,HUN
1411,264,IRL
1412,264,ITA
1413,264,LVA
1414,264,LTU
1415,264,LUX
1416,264,MLT
1417,264,NLD
1418,264,POL
1419,264,PRT
1420,264,ROU
1421,264,SVK
1422,264,SVN
1423,264,ESP
1424,264,SWE
1425,265,GBR
1426,268,UKR
1427,268,GBR
1428,268,POL
1429,268,RUS
1430,270,GBR
1431,270,AUT
1432,270,BEL
1433,270,BGR
1434,270,HRV
1435,270,CYP
1436,270,CZE
1437,270,DNK
1438,270,EST
1439,270,FIN
1440,270,FRA
1441,270,DEU
1442,270,GRC
1443,270,HUN
1444,270,IRL
1445,270,ITA
1446,270,LVA
1447,270,LTU
1448,270,LUX
1449,270,MLT
1450,270,NLD
1451,270,POL
1452,270,PRT
1453,270,ROU
1454,270,SVK
1455,270,SVN
1456,270,ESP
1457,270,SWE
1458,272,IRL
1459,272,USA
1460,272,AUT
1461,272,BEL
1462,272,BGR
1463,272,HRV
1464,272,CYP
1465,272,CZE
1466,272,DNK
1467,272,EST
1468,272,FIN
1469,272,FRA
1470,272,DEU
1471,272,GRC
1472,272,HUN
1473,272,ITA
1474,272,LVA
1475,272,LTU
1476,272,LUX
1477,272,MLT
1478,272,NLD
1479,272,POL
1480,272,PRT
1481,272,ROU
1482,272,SVK
1483,272,SVN
1484,272,ESP
1485,272,SWE
1486,272,GBR
1487,273,GBR
1488,274,GBR
1489,274,AUT
1490,274,BEL
1491,274,BGR
1492,274,HRV
1493,274,CYP
1494,274,CZE
1495,274,DNK
1496,274,EST
1497,274,FIN
1498,274,FRA
1499,274,DEU
1500,274,GRC
1501,274,HUN
1502,274,IRL
1503,274,ITA
